GENRE,GENRE_Pred_NB,GENRE_Pred_NB_oversampled,GENRE_Pred_NB_undersampled,GENRE_Pred_logistic_reg,GENRE_Pred_logistic_reg_oversampled,GENRE_Pred_logistic_reg_undersampled
thriller,drama,short,thriller,drama,comedy,romance
comedy,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,drama,drama,drama,drama,comedy
drama,drama,drama,biography,drama,drama,biography
horror,drama,thriller,mystery,short,short,mystery
drama,drama,drama,adult,drama,drama,adult
comedy,drama,comedy,comedy,comedy,comedy,comedy
documentary,documentary,news,documentary,documentary,documentary,documentary
drama,documentary,short,short,documentary,short,short
drama,drama,thriller,thriller,drama,thriller,thriller
drama,drama,drama,documentary,drama,drama,documentary
drama,drama,action,sci-fi,drama,drama,sci-fi
drama,documentary,documentary,documentary,documentary,documentary,documentary
short,drama,adult,adult,short,short,adult
documentary,documentary,reality-tv,sport,sport,sport,sport
comedy,drama,comedy,adult,comedy,comedy,family
western,drama,western,western,drama,western,western
documentary,documentary,sport,sport,documentary,sport,sport
documentary,drama,thriller,mystery,drama,short,mystery
short,drama,comedy,horror,drama,drama,reality-tv
drama,documentary,documentary,documentary,documentary,documentary,documentary
documentary,documentary,biography,music,documentary,documentary,music
documentary,documentary,music,music,music,music,music
documentary,documentary,documentary,biography,documentary,documentary,biography
documentary,drama,drama,biography,documentary,documentary,history
drama,drama,crime,crime,comedy,short,short
family,drama,fantasy,horror,drama,adventure,horror
sport,documentary,sport,sport,sport,sport,sport
horror,drama,horror,horror,drama,drama,horror
western,drama,western,western,western,western,western
drama,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,history,documentary,family,history
comedy,drama,comedy,crime,comedy,comedy,crime
drama,drama,drama,thriller,drama,drama,short
documentary,drama,thriller,crime,drama,drama,crime
drama,drama,drama,biography,drama,drama,biography
romance,drama,adult,adult,drama,adult,romance
war,documentary,war,war,drama,war,war
drama,drama,drama,horror,drama,drama,drama
short,drama,thriller,horror,drama,thriller,horror
game-show,drama,comedy,romance,comedy,comedy,romance
short,documentary,family,romance,documentary,short,romance
documentary,documentary,documentary,war,documentary,documentary,documentary
documentary,documentary,reality-tv,reality-tv,documentary,reality-tv,reality-tv
documentary,documentary,history,history,documentary,history,history
comedy,documentary,sci-fi,sci-fi,documentary,sci-fi,sci-fi
comedy,drama,thriller,thriller,drama,drama,thriller
drama,drama,drama,romance,drama,drama,romance
documentary,documentary,documentary,history,documentary,short,sci-fi
drama,drama,short,western,short,short,western
drama,drama,drama,musical,drama,drama,musical
comedy,drama,musical,musical,drama,drama,musical
horror,drama,thriller,horror,drama,horror,horror
biography,drama,crime,crime,documentary,documentary,crime
documentary,documentary,documentary,war,documentary,documentary,documentary
drama,drama,drama,thriller,drama,drama,drama
adult,drama,adult,adult,adult,adult,adult
comedy,drama,comedy,western,drama,comedy,comedy
documentary,documentary,documentary,news,documentary,documentary,news
short,documentary,history,war,drama,history,war
drama,drama,drama,thriller,drama,drama,war
drama,drama,comedy,drama,comedy,comedy,short
drama,drama,drama,war,drama,drama,war
drama,drama,drama,horror,drama,drama,romance
talk-show,documentary,talk-show,talk-show,documentary,talk-show,talk-show
family,drama,family,family,family,family,family
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,comedy,horror,comedy,comedy,horror
comedy,documentary,music,music,music,music,music
documentary,documentary,documentary,history,documentary,documentary,history
drama,documentary,documentary,sci-fi,short,short,short
drama,drama,drama,drama,drama,drama,drama
drama,drama,drama,drama,drama,drama,drama
short,drama,adventure,western,drama,drama,animation
documentary,drama,comedy,family,drama,drama,family
horror,drama,drama,horror,drama,drama,biography
drama,drama,family,horror,drama,family,family
comedy,drama,adult,adult,comedy,comedy,adult
documentary,documentary,documentary,short,documentary,documentary,short
documentary,documentary,biography,talk-show,documentary,documentary,biography
horror,drama,horror,horror,horror,horror,horror
documentary,documentary,short,short,documentary,short,comedy
drama,drama,drama,romance,drama,drama,drama
comedy,drama,comedy,thriller,comedy,comedy,comedy
horror,documentary,short,thriller,short,short,history
action,drama,comedy,adult,comedy,comedy,adult
documentary,documentary,short,documentary,short,short,documentary
documentary,documentary,documentary,sci-fi,documentary,documentary,documentary
action,drama,crime,crime,action,action,crime
drama,drama,short,drama,short,short,short
documentary,documentary,documentary,documentary,documentary,documentary,animation
documentary,drama,drama,drama,drama,drama,drama
drama,drama,drama,romance,drama,drama,romance
drama,documentary,reality-tv,news,drama,drama,news
music,documentary,music,music,music,music,music
documentary,drama,drama,romance,drama,drama,adult
drama,drama,comedy,thriller,comedy,comedy,romance
horror,drama,horror,horror,horror,horror,horror
drama,documentary,documentary,war,drama,drama,war
documentary,documentary,music,music,documentary,comedy,music
short,drama,reality-tv,short,short,comedy,short
documentary,documentary,music,music,drama,drama,music
short,documentary,short,music,documentary,music,music
documentary,documentary,documentary,talk-show,documentary,documentary,animation
drama,documentary,documentary,thriller,drama,short,biography
drama,drama,short,short,drama,short,short
comedy,documentary,comedy,music,comedy,comedy,music
documentary,documentary,documentary,short,documentary,documentary,short
drama,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,fantasy,documentary,documentary,short
drama,drama,thriller,thriller,drama,drama,thriller
drama,drama,drama,romance,drama,drama,romance
documentary,documentary,short,talk-show,documentary,short,documentary
documentary,documentary,documentary,sci-fi,short,short,sci-fi
short,documentary,documentary,drama,drama,drama,drama
documentary,drama,drama,romance,drama,drama,biography
short,drama,short,drama,drama,short,drama
crime,drama,action,crime,comedy,action,crime
drama,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,talk-show,documentary,short,talk-show
comedy,drama,comedy,horror,comedy,comedy,comedy
drama,drama,drama,drama,drama,drama,romance
drama,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,drama,romance,drama,drama,romance
drama,drama,drama,drama,drama,drama,drama
short,documentary,documentary,adult,documentary,documentary,adult
action,drama,action,western,drama,drama,western
drama,documentary,action,thriller,documentary,action,thriller
drama,drama,thriller,thriller,drama,thriller,thriller
thriller,drama,thriller,western,drama,horror,western
drama,drama,thriller,western,thriller,thriller,western
documentary,documentary,documentary,sci-fi,documentary,short,sci-fi
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,family,adult,short,comedy,adult
animation,drama,comedy,drama,comedy,comedy,family
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,drama,drama,drama,drama,drama
short,drama,short,romance,short,short,short
adult,drama,adult,adult,drama,adult,adult
drama,drama,drama,drama,drama,short,short
documentary,documentary,documentary,history,documentary,documentary,history
drama,drama,drama,horror,drama,thriller,horror
documentary,drama,comedy,romance,comedy,comedy,romance
sci-fi,documentary,sci-fi,sci-fi,documentary,sci-fi,sci-fi
drama,drama,drama,drama,drama,drama,drama
family,documentary,talk-show,talk-show,comedy,comedy,talk-show
short,drama,crime,crime,thriller,crime,crime
drama,drama,drama,war,drama,drama,drama
sport,documentary,sport,news,documentary,family,news
western,drama,western,western,western,western,western
documentary,drama,drama,thriller,comedy,comedy,thriller
drama,drama,drama,thriller,drama,drama,thriller
horror,documentary,horror,horror,horror,horror,biography
drama,drama,drama,western,drama,drama,western
comedy,drama,comedy,drama,drama,family,family
horror,drama,horror,thriller,drama,drama,thriller
short,documentary,documentary,documentary,documentary,documentary,news
comedy,drama,comedy,romance,comedy,comedy,romance
comedy,drama,comedy,drama,comedy,comedy,drama
drama,drama,history,animation,drama,drama,animation
drama,drama,thriller,thriller,drama,thriller,fantasy
short,documentary,documentary,documentary,documentary,documentary,documentary
documentary,documentary,action,crime,documentary,documentary,crime
documentary,documentary,documentary,history,documentary,documentary,history
comedy,documentary,short,sci-fi,short,short,animation
action,drama,action,crime,action,action,action
western,drama,western,western,drama,western,western
documentary,documentary,sci-fi,sci-fi,documentary,sci-fi,mystery
horror,documentary,mystery,mystery,comedy,mystery,mystery
drama,drama,thriller,horror,drama,drama,horror
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,drama,western,drama,drama,western
comedy,drama,adventure,horror,drama,drama,romance
short,documentary,documentary,sci-fi,documentary,sci-fi,biography
documentary,documentary,biography,biography,documentary,biography,biography
adventure,documentary,adventure,animation,short,adventure,animation
drama,drama,short,family,drama,drama,family
documentary,drama,animation,animation,drama,animation,history
comedy,drama,romance,romance,drama,romance,romance
documentary,drama,drama,romance,drama,drama,romance
documentary,drama,short,drama,drama,drama,romance
music,documentary,music,music,documentary,short,music
comedy,drama,comedy,thriller,drama,comedy,drama
music,documentary,music,music,music,music,music
drama,drama,crime,mystery,drama,thriller,mystery
documentary,documentary,documentary,news,documentary,documentary,documentary
thriller,drama,drama,action,drama,drama,action
talk-show,documentary,documentary,talk-show,documentary,documentary,sci-fi
comedy,documentary,comedy,talk-show,comedy,comedy,talk-show
